id,question,correctanswer,answera,answerb,answerc,answerd
101303,polar bears well adapted arctic environment due white fur coats explains why coat color possibly favored natural selection over colors,b,polar bears choose mates whitest coat color,polar bears white coats better camouflaged,white coat color able capture heat,white coat color attracts prey
101304,as our solar formed did higher proportion radioactive elements protoplanets influence planetary development,c,reinforced compression caused gravity,powered motion planets toward final orbits,provided heat source help drive layer differentiation,altered elements so planets compositions
101305,paleontologists construct model dinosaur fossil bones teeth help infer about except,d,height dinosaur,type dinosaur ate,length dinosaur,skin color dinosaur
101306,discovery provides evidence age our solar,b,oldest known rocks been dated billion years old,apollo mission moon rocks been dated billion years old,volcanic activity occurs surface recycled rocks least once since formation,apollo missions gathered moon rocks similar age oldest known
101307,majority fresh frozen glaciers ice caps if climate changed around world causing melt situation occur,d,land become fertile,air temperatures decrease,ocean become saltier,land masses become smaller
101308,pair human systems functions closely together,d,nervous excretory,digestive muscular,skeletal circulatory,respiratory cardiovascular
101309,describes greatest impact ozone layer had geosphere,c,ozone layer served catalyst oxidization exposed iron containing surface rocks,ozone layer prevented surface rocks being broken down high ultraviolet,presence ozone layer necessary formation organic sedimentary rocks,presence ozone layer allowed liquid form start eroding exposed surface
101310,human produces hormones regulate growth,d,skeletal,digestive,circulatory,endocrine
101311,pepsin enzyme acts stomach protein digestion main role metabolic reaction,a,speed up rate reaction,reduce loss heat,control direction reaction,protect reaction chemicals
101312,practice prevent public experiencing harmful side effect medication,c,release partial list showing minor side effects,destroy medicines may side effects,perform high quality consistent testing medicine,maintain accurate records much medicine sold
101313,microfilaments microtubules form cytoskeleton eukaryotic both made,c,cellulose,nucleic acids,protein,polysaccharides
101314,results person hand near open flame,a,motor neurons activating muscles hand cause move,sensory neurons incoming information determine response,brain required integrate incoming outgoing information,interneurons detect environment
101315,describes role reactions cycle,d,reactions transform common elements,reactions create byproduct natural processes,reactions carbon reduce total planet,reactions incorporate carbon compounds release
